,index,Open,High,Low,Close,Volume,Summary of Econ Projections,polarity,subjectivity,Statement,close_pct_change,fed_chair,president,residuals,abs_return,two_pct_change,three_pct_change,four_pct_change,five_pct_change
0,2000-01-04,1455.2199699999999,1455.2199699999999,1397.43005,1399.42004,1216499968.0,0.0,0.0,0.0,0.0,-0.038311673871460394,Greenspan,Clinton,-0.03852113208737194,0.038311673871460394,0.0028797000791842553,0.030048111930710775,0.04157432246003867,0.027968743394585216
1,2000-01-05,1399.42004,1413.27002,1377.68005,1402.10999,1422400000.0,0.0,0.0,0.0,0.0,0.0019221891377230182,Greenspan,Clinton,-0.0012082079980402143,0.0019221891377230182,0.028071963170307246,0.03957606064842345,0.02599658390566062,0.0213464351680428
2,2000-01-06,1402.10999,1411.9000199999998,1392.02002,1403.44995,1322899968.0,0.0,0.0,0.0,0.0,0.0009556739553648885,Greenspan,Clinton,-0.001454350916533991,0.0009556739553648885,0.038583513434163,0.02501700185318345,0.0203712928986175,0.03294032679968395
3,2000-01-07,1403.44995,1441.4699699999999,1400.72998,1441.4699699999999,1472800000.0,0.0,0.0,0.0,0.0,0.027090399625579797,Greenspan,Clinton,0.027044926089222075,0.027090399625579797,-0.0020187101088202652,-0.0065418844625668715,0.005695630273865548,0.016427709555406178
4,2000-01-10,1441.4699699999999,1464.35999,1441.4699699999999,1457.5999800000002,1290899968.0,0.0,0.0,0.0,0.0,0.011189972969052109,Greenspan,Clinton,0.013187840278521717,0.011189972969052109,-0.01753563415938031,-0.005433541512535056,0.005179775043629986,-0.00168768525916152
5,2000-01-11,1457.5999800000002,1458.66003,1434.42004,1438.56006,1286599936.0,0.0,0.0,0.0,0.0,-0.013062513900418793,Greenspan,Clinton,-0.010757076681889063,0.013062513900418793,0.0077299449005971965,0.018483732962807142,0.011525379065508101,0.012053692078730194
6,2000-01-12,1438.56006,1442.5999800000002,1427.07996,1432.04004,1234700032.0,0.0,0.0,0.0,0.0,-0.004532323801621385,Greenspan,Clinton,-0.005142701487738264,0.004532323801621385,0.023120847933832733,0.016130812934532113,0.016661531335394608,0.009447996998743102
7,2000-01-13,1432.25,1454.19995,1432.25,1449.68005,1162300032.0,0.0,0.0,0.0,0.0,0.012318098312390724,Greenspan,Clinton,0.01092162034795437,0.012318098312390724,0.003766320713318949,0.004290581221697787,-0.002835177320678395,-0.005739238806521496
8,2000-01-14,1449.68005,1473.0,1449.68005,1465.1500199999998,1314499968.0,0.0,0.0,0.0,0.0,0.010671299505018217,Greenspan,Clinton,0.01114789962233929,0.010671299505018217,-0.00631334667012462,-0.013363866998411411,-0.016237265587314975,-0.04331977554080091
9,2000-01-18,1465.1500199999998,1465.1500199999998,1451.30005,1455.14001,1216000000.0,0.0,0.0,0.0,0.0,-0.006832071708260834,Greenspan,Clinton,-0.005465063927789629,0.006832071708260834,-0.006576727967228413,-0.009469892866185492,-0.03673870530162948,-0.03100043960718246
